################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.2380092360607979E+00 a         1     0     1     1     1
 -1.9328073945468180E+01 a         2     0     1     1     2
 -3.8186304653636802E+00 a         3     0     1     1     3
 -9.2949097909718645E+00 a         4     0     1     1     4
  2.9094181408235600E+00 a         5     0     1     1     5
 -1.0155553054758879E+01 a         6     0     1     1     6
  5.3526157050280014E+00 a         7     0     1     1     7
  2.1443081867346625E-01 a         8     0     1     1     8
  1.4476243908016494E+01 a         9     0     1     1     9
  7.5882206929812037E+00 a        10     0     1     1    10
  3.1558132803267913E+00 a        11     0     1     1    11
  2.6798651901277526E+00 a        12     0     1     1    12
  7.1666770519127159E+00 a        13     0     1     1    13
 -1.0009120625393025E-01 a        14     0     1     1    14
  1.0987101088429199E+00 a        15     0     1     1    15
  1.3791166863235114E+00 a        16     0     2     1     1
  1.3774308630575009E+01 a        17     0     2     1     2
  1.0669625783829385E+01 a        18     0     2     1     3
  8.8893310558998948E+00 a        19     0     2     1     4
  5.3331322899907061E+00 a        20     0     2     1     5
 -3.8410936473492789E+00 a        21     0     2     1     6
 -5.8746400018179550E+00 a        22     0     2     1     7
 -7.6406989857065710E+00 a        23     0     2     1     8
 -6.3482527221389802E+00 a        24     0     2     1     9
 -9.4571611169093046E+00 a        25     0     2     1    10
  2.6482914713363015E+00 a        26     0     2     1    11
 -5.3080633629501772E+00 a        27     0     2     1    12
 -1.3038510857770504E+01 a        28     0     2     1    13
  3.3662575273635085E+00 a        29     0     2     1    14
 -5.7656406581282020E+00 a        30     0     2     1    15
 -3.7743581744218315E+00 a        31     0     3     1     1
 -1.3117518163527727E+01 a        32     0     3     1     2
 -3.3864333553019130E+00 a        33     0     3     1     3
 -3.9351360652659237E+00 a        34     0     3     1     4
 -1.5341607308535373E+01 a        35     0     3     1     5
 -2.8524451736165815E+00 a        36     0     3     1     6
  6.9550906314149676E+00 a        37     0     3     1     7
  6.7874410718600124E+00 a        38     0     3     1     8
  1.1515784738374634E+01 a        39     0     3     1     9
  6.0591959639792954E+00 a        40     0     3     1    10
 -4.1660109465974055E-01 a        41     0     3     1    11
  3.0289518530563040E+00 a        42     0     3     1    12
  1.4570249219747620E+01 a        43     0     3     1    13
 -8.6238652222899130E+00 a        44     0     3     1    14
  1.3563531028519270E+01 a        45     0     3     1    15
  7.6595381395257265E+00 a        46     0     4     1     1
 -1.8862751003755804E+00 a        47     0     4     1     2
 -2.2120080490960743E+00 a        48     0     4     1     3
  2.1788336791191467E+00 a        49     0     4     1     4
  1.0551639855158824E+01 a        50     0     4     1     5
 -4.6017839010925439E+00 a        51     0     4     1     6
 -1.3109706120610227E+01 a        52     0     4     1     7
 -2.6566561282321132E+01 a        53     0     4     1     8
  7.8256023471941969E+00 a        54     0     4     1     9
 -5.3892723932502280E+00 a        55     0     4     1    10
  4.1667414167181489E+00 a        56     0     4     1    11
 -8.4936065057458293E-02 a        57     0     4     1    12
 -2.0560467036098956E+01 a        58     0     4     1    13
  1.4421607284680318E+00 a        59     0     4     1    14
  3.3617350802275436E-03 a        60     0     4     1    15
  5.6799475235212027E-01 a        61     0     5     1     1
  1.1150077910220755E+00 a        62     0     5     1     2
  1.3901914716630760E+01 a        63     0     5     1     3
 -9.3799680702655355E+00 a        64     0     5     1     4
  4.6653429298244458E+00 a        65     0     5     1     5
  2.9887565327593064E+00 a        66     0     5     1     6
  1.0387871917243711E+01 a        67     0     5     1     7
  2.4340495519877329E+01 a        68     0     5     1     8
 -2.2854268242835323E+00 a        69     0     5     1     9
 -1.7506360491704835E+00 a        70     0     5     1    10
 -1.4581925150031653E+01 a        71     0     5     1    11
  5.1111808114302821E+00 a        72     0     5     1    12
  1.0604255796366244E+01 a        73     0     5     1    13
 -5.5699682677753879E+00 a        74     0     5     1    14
 -8.1334858643263388E+00 a        75     0     5     1    15
 -3.3674310997710455E-01 a        76     0     6     1     1
 -1.0306262635360415E+01 a        77     0     6     1     2
 -7.8401631399796941E+00 a        78     0     6     1     3
  1.2109207598234217E+01 a        79     0     6     1     4
 -1.1954672393457839E+01 a        80     0     6     1     5
  3.7215943478528755E+00 a        81     0     6     1     6
 -1.2155973372597050E+01 a        82     0     6     1     7
 -3.7316486410741646E+01 a        83     0     6     1     8
  2.1575604137609869E+01 a        84     0     6     1     9
  1.0261508162264843E+00 a        85     0     6     1    10
